toolId,Estado propuesto,Publicar ahora,Resolución,Motivo,Criterio para activar,Nota,Requiere verificación contra HEAD
workflow,certified,Sí,enabled,Verificada por harness tests/gate-e2e-image-tools.mjs (2026-08-05): flujo encadenado rotar 90°→redimensionar 1080→voltear; 200x100 → 1080x2160 en WebP (RIFF/WEBP) probando el orden de operaciones; 21/21. Fix de plural 'operaciones' en app.js durante la certificación.,"Editor visual accesible, móvil, deshacer/rehacer, vista previa fiel y reapertura del resultado.",Certificada por harness: image-interactive-evidence.,No
advancedConvert,certified,Sí,enabled,"Necesita editor visual, comparación, corrección manual, seguridad de censura o validación de salida.","Editor visual accesible, móvil, deshacer/rehacer, vista previa fiel y reapertura del resultado.",Certificada por harness: image-family-evidence.,No
jpg-to-png,certified,Sí,enabled,"Verificada por harness tests/verify-23-tools.mjs (2026-08-03): flujo UI real con descarga, magic bytes del formato esperado, decodificacion/ZIP/PDF validado y manejo de entrada invalida; suite completa 240 checks / 0 fallos.","Procesa fixture real por la UI, genera descarga con magic bytes y extension esperados y no lanza errores no controlados.","Conversion JPEG->PNG por UI (toolId convert). Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
png-to-jpg,certified,Sí,enabled,"Verificada por harness tests/verify-23-tools.mjs (2026-08-03): flujo UI real con descarga, magic bytes del formato esperado, decodificacion/ZIP/PDF validado y manejo de entrada invalida; suite completa 240 checks / 0 fallos.","Procesa fixture real por la UI, genera descarga con magic bytes y extension esperados y no lanza errores no controlados.","Conversion PNG->JPEG por UI (toolId convert). Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
jpg-to-webp,certified,Sí,enabled,"Verificada por harness tests/verify-23-tools.mjs (2026-08-03): flujo UI real con descarga, magic bytes del formato esperado, decodificacion/ZIP/PDF validado y manejo de entrada invalida; suite completa 240 checks / 0 fallos.","Procesa fixture real por la UI, genera descarga con magic bytes y extension esperados y no lanza errores no controlados.","Conversion JPEG->WebP por UI (toolId convert). Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
webp-to-jpg,certified,Sí,enabled,"Verificada por harness tests/verify-23-tools.mjs (2026-08-03): flujo UI real con descarga, magic bytes del formato esperado, decodificacion/ZIP/PDF validado y manejo de entrada invalida; suite completa 240 checks / 0 fallos.","Procesa fixture real por la UI, genera descarga con magic bytes y extension esperados y no lanza errores no controlados.","Conversion WebP->JPEG por UI (toolId convert). Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
png-to-webp,certified,Sí,enabled,"Verificada por harness tests/verify-23-tools.mjs (2026-08-03): flujo UI real con descarga, magic bytes del formato esperado, decodificacion/ZIP/PDF validado y manejo de entrada invalida; suite completa 240 checks / 0 fallos.","Procesa fixture real por la UI, genera descarga con magic bytes y extension esperados y no lanza errores no controlados.","Conversion PNG->WebP por UI (toolId convert). Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
webp-to-png,certified,Sí,enabled,"Verificada por harness tests/verify-23-tools.mjs (2026-08-03): flujo UI real con descarga, magic bytes del formato esperado, decodificacion/ZIP/PDF validado y manejo de entrada invalida; suite completa 240 checks / 0 fallos.","Procesa fixture real por la UI, genera descarga con magic bytes y extension esperados y no lanza errores no controlados.","Conversion WebP->PNG por UI (toolId convert). Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
jpg-to-pdf,certified,Sí,enabled,"Verificada por harness tests/verify-23-tools.mjs (2026-08-03): flujo UI real con descarga, magic bytes del formato esperado, decodificacion/ZIP/PDF validado y manejo de entrada invalida; suite completa 240 checks / 0 fallos.","Procesa fixture real por la UI, genera descarga con magic bytes y extension esperados y no lanza errores no controlados.","Conversion JPEG->PDF por UI (toolId imagesPdf); PDF reabierto y validado. Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
png-to-pdf,certified,Sí,enabled,"Verificada por harness tests/verify-23-tools.mjs (2026-08-03): flujo UI real con descarga, magic bytes del formato esperado, decodificacion/ZIP/PDF validado y manejo de entrada invalida; suite completa 240 checks / 0 fallos.","Procesa fixture real por la UI, genera descarga con magic bytes y extension esperados y no lanza errores no controlados.","Conversion PNG->PDF por UI (toolId imagesPdf); PDF reabierto y validado. Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
pdf-to-jpg,certified,Sí,enabled,"Verificada por harness tests/verify-23-tools.mjs (2026-08-03): flujo UI real con descarga, magic bytes del formato esperado, decodificacion/ZIP/PDF validado y manejo de entrada invalida; suite completa 240 checks / 0 fallos.","Procesa fixture real por la UI, genera descarga con magic bytes y extension esperados y no lanza errores no controlados.","PDF->ZIP de JPG por UI (toolId pdfToImages); JPG con magic correcto. Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
pdf-to-png,certified,Sí,enabled,"Verificada por harness tests/verify-23-tools.mjs (2026-08-03): flujo UI real con descarga, magic bytes del formato esperado, decodificacion/ZIP/PDF validado y manejo de entrada invalida; suite completa 240 checks / 0 fallos.","Procesa fixture real por la UI, genera descarga con magic bytes y extension esperados y no lanza errores no controlados.","PDF->ZIP de PNG por UI (toolId pdfToImages); PNG con magic correcto. Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
wordToPdf,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): PDF válido con texto extraíble del DOCX (encabezado y párrafo verificados por pdfjs); suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
wordToJpg,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): JPG 800×462 con el documento renderizado; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
wordToPng,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): PNG 800×462 con el documento renderizado; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
wordToTxt,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.","Extraccion de texto DOCX por UI real (mammoth); conserva parrafos. Certificada por harness tests/gate-e2e-docs-extras.mjs (2026-08-10): 41/41 (boton deshabilitado/habilitado segun tipo, descarga .txt, texto y parrafos verificados, negativo con TXT, sin red externa, cero errores de consola). Evidencia: TLT-certify-docs-extras-evidence.json.",No
wordToHtml,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): HTML con <html> y el texto del documento (mammoth); suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
wordToMarkdown,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): Markdown con el título y el párrafo del documento; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
wordToEpub,certified,Sí,enabled,"Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): EPUB con mimetype, dc:title y capítulos con contenido; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.","Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
wordToOdt,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): ODT con mimetype y content.xml conservando el texto; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
odtToWord,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): DOCX válido que conserva el texto del ODT; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
rtfToWord,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): DOCX válido que conserva el texto del RTF; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
mergeWord,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): 2 DOCX fusionados con contenido de ambos; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
splitWord,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): 2 partes DOCX válidas y reabiertas; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
repairWord,certified,Sí,enabled,"Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): reporte ZIP OK, document.xml encontrado y DOCX reparado válido; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.","Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
compressWord,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): DOCX válido con reporte de tamaño (0% en fixture ya comprimido); suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
stripMetadataWord,certified,Sí,enabled,"Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): DOCX válido, docProps/core.xml conservado y autor original anonimizado/eliminado; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.","Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
formatDocument,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): DOCX válido con Calibri 11pt/line-height 1.5 conservando el texto; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
tocWord,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): TOC con 2 entradas a partir de los encabezados; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
extractWord,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): TXT con el texto y los párrafos extraídos; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
findReplaceWord,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): controles Buscar/Reemplazar añadidos (fix htmlByTool en app.js) y reemplazo aplicado; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
tablesWordToExcel,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): hoja Producto con header y fila de datos extraídos de la tabla; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
removeBlankPagesWord,certified,Sí,enabled,Verificada por harness tests/gate-e2e-word-tools.mjs (2026-08-05): DOCX válido que conserva el contenido tras eliminar páginas en blanco; suite 20 herramientas 67/67 (0 fallos) con fixtures DOCX/ODT/RTF reales generados en el navegador.,"Corpus DOCX/ODT/RTF real, comparación estructural, imágenes/tablas/estilos conservados y reapertura.",Evidencia: artifacts/deep-audit/toolisto/TLT-certify-word-family-evidence.json Certificada por harness: word-family-evidence.,No
txtToPdf,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.",Generación de PDF desde texto plano. Certificada por harness tests/gate-e2e-text-tools.mjs (2026-08-07): TLT-certify-text-family-evidence.json.,Sí
txtToEpub,certified,Sí,enabled,"Necesita asistente de estructura, metadatos o alcance lingüístico claramente validado.","Vista previa, corrección de estructura y salida validada.",Verificado por harness tests/verify-115-tools.mjs (222 checks 0 fallos; 2026-08-04). SIN harness E2E dedicado (solo cobertura estructural).,Sí
mergeTxt,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.",Concatenación de texto plano. Certificada por harness tests/gate-e2e-text-tools.mjs (2026-08-07): TLT-certify-text-family-evidence.json.,Sí
splitTxt,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.",División de texto plano. Certificada por harness tests/gate-e2e-text-tools.mjs (2026-08-07): TLT-certify-text-family-evidence.json.,Sí
sortLines,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.",Transformación determinista de líneas. Certificada por harness tests/gate-e2e-text-tools.mjs (2026-08-07): TLT-certify-text-family-evidence.json.,Sí
removeDuplicates,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.",Transformación determinista de líneas. Certificada por harness tests/gate-e2e-text-tools.mjs (2026-08-07): TLT-certify-text-family-evidence.json.,Sí
listToTable,certified,Sí,enabled,"Necesita asistente de estructura, metadatos o alcance lingüístico claramente validado.","Vista previa, corrección de estructura y salida validada.",Verificado por harness tests/verify-115-tools.mjs (222 checks 0 fallos; 2026-08-04). SIN harness E2E dedicado (solo cobertura estructural).,Sí
epubToTxt,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.","Extraccion de texto refluible EPUB por UI real. Certificada por harness tests/gate-e2e-docs-extras.mjs (2026-08-10): 41/41 (boton deshabilitado/habilitado segun tipo, descarga .txt, texto y parrafos verificados, negativo con TXT, sin red externa, cero errores de consola). Evidencia: TLT-certify-docs-extras-evidence.json.",No
epubToHtml,certified,Sí,enabled,Herramienta de alcance limitado certificada con fixtures EPUB reales generados en el navegador; procesa, genera archivo no vacío y se reabre conservando la semántica prometida.,Fixture EPUB real Certificada por harness: epub-family-evidence.,No
epubToMarkdown,certified,Sí,enabled,Herramienta de alcance limitado certificada con fixtures EPUB reales generados en el navegador; procesa, genera archivo no vacío y se reabre conservando la semántica prometida.,Fixture EPUB real Certificada por harness: epub-family-evidence.,No
mergeEpub,certified,Sí,enabled,Herramienta de alcance limitado certificada con fixtures EPUB reales generados en el navegador; procesa, genera archivo no vacío y se reabre conservando la semántica prometida.,Fixture EPUB real Certificada por harness: epub-family-evidence.,No
splitEpub,certified,Sí,enabled,Herramienta de alcance limitado certificada con fixtures EPUB reales generados en el navegador; procesa, genera archivo no vacío y se reabre conservando la semántica prometida.,Fixture EPUB real Certificada por harness: epub-family-evidence.,No
editMetadataEpub,certified,Sí,enabled,Herramienta de alcance limitado certificada con fixtures EPUB reales generados en el navegador; procesa, genera archivo no vacío y se reabre conservando la semántica prometida.,Fixture EPUB real Certificada por harness: epub-family-evidence.,No
coverEpub,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.","Extraccion de portada EPUB como cover.jpg valido por UI real. Certificada por harness tests/gate-e2e-docs-extras.mjs (2026-08-10): 41/41 (boton deshabilitado/habilitado segun tipo, descarga .txt, texto y parrafos verificados, negativo con TXT, sin red externa, cero errores de consola). Evidencia: TLT-certify-docs-extras-evidence.json.",No
imagesEpub,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.","Extraccion de recursos graficos EPUB a ZIP por UI real. Certificada por harness tests/gate-e2e-docs-extras.mjs (2026-08-10): 41/41 (boton deshabilitado/habilitado segun tipo, descarga .txt, texto y parrafos verificados, negativo con TXT, sin red externa, cero errores de consola). Evidencia: TLT-certify-docs-extras-evidence.json.",No
validateEpub,certified,Sí,enabled,Herramienta de alcance limitado certificada con fixtures EPUB reales generados en el navegador; procesa, genera archivo no vacío y se reabre conservando la semántica prometida.,Fixture EPUB real Certificada por harness: epub-family-evidence.,No
repairEpub,certified,Sí,enabled,Herramienta de alcance limitado certificada con fixtures EPUB reales generados en el navegador; procesa, genera archivo no vacío y se reabre conservando la semántica prometida.,Fixture EPUB real Certificada por harness: epub-family-evidence.,No
csvToExcel,certified,Sí,enabled,Modo Excel form-first con vista tabular editable, tipos explícitos, errores por fila y reapertura de salida. Certificada por harness tests/gate-e2e-spreadsheet-tools.mjs (2026-08-07): 197/197 (vista editable, tipos detectados, badge de errores, edicion de celda/fila, reapertura de salida, errores por toast, sin red externa, cero errores de consola). Fix de reapertura en js/modes/excel.js (state._lastResult guarda f.blob).,No
