"ID","Severidad","Perspectiva","Área","Momento del recorrido","Título","Hallazgo","Tipo de evidencia","Evidencia / archivo","Impacto para el usuario","Causa técnica probable","Corrección requerida","Prueba de aceptación","Fase","Estado"
"WSP-023","P0","Técnica / producto","Privacidad","Transversal","No hay prueba de red negativa","La promesa es local, pero no se evidencia una suite que falle si un archivo, OCR o nombre sale por red.","Registros, pruebas o arquitectura","tests/workspace/phase6-network-negative-test.mjs","Ruptura de la promesa principal y exposición de documentos.","","Playwright debe interceptar fetch/XHR/beacon/WebSocket y bloquear payloads binarios o contenido de archivos.","Playwright debe interceptar fetch/XHR/beacon/WebSocket y bloquear payloads binarios o contenido de archivos.","Por priorizar","Resuelto"
"WSP-041","P0","Técnica / producto","OCR","Transversal","Métrica OCR puede ocultar errores semánticos","La medición cambió a Levenshtein y alcanzó 99 %, aunque Tesseract insertaba '1' antes de -30.","Registros, pruebas o arquitectura","Registro del ciclo e1d2f11.","Un solo carácter puede cambiar montos, fechas o cantidades.","","Métricas por tipo: exactitud numérica 100 %, fechas, moneda, signos y celdas, además de texto.","Métricas por tipo: exactitud numérica 100 %, fechas, moneda, signos y celdas, además de texto.","Por priorizar","Abierto"
"WSP-042","P0","Técnica / producto","OCR","Transversal","Tabla OCR acepta contenido inventado","El E2E reportó 15 celdas esperadas, 9 correctas, 6 ausentes y 11 inventadas; aprobó con 60 %.","Registros, pruebas o arquitectura","Step 14 del Star-Flow.","Datos incorrectos pasan a gráficos e informes.","","No crear tabla automática sin revisión; confianza por celda, resaltado y umbral estricto.","No crear tabla automática sin revisión; confianza por celda, resaltado y umbral estricto.","Por priorizar","Resuelto"
"WSP-043","P0","Técnica / producto","OCR","Transversal","Gráfico basado en un número mal reconocido","El flujo falló porque el gráfico no conservó negativos después del OCR.","Registros, pruebas o arquitectura","Star-Flow 78/79, fallo Chart has negatives.","Conclusiones analíticas incorrectas.","","Tipado y validación de valores antes de graficar; bloquear gráficos con celdas inciertas.","Tipado y validación de valores antes de graficar; bloquear gráficos con celdas inciertas.","Por priorizar","Resuelto"
"WSP-053","P0","Técnica / producto","Documentos","Transversal","Editor basado en HTML debe controlar sanitización","Existe edición enriquecida y un fallo relacionado con innerHTML.","Registros, pruebas o arquitectura","workspace-test y descripción del editor.","Contenido pegado/importado puede ejecutar HTML o romper el documento.","","Modelo de bloques estructurado y sanitización de paste/import.","Modelo de bloques estructurado y sanitización de paste/import.","Por priorizar","Parcial"
"WSP-059","P0","Técnica / producto","Datos","Transversal","Parser numérico heurístico","El fallo de negativos se corrigió buscando patrones como -30 antes de parseFloat.","Registros, pruebas o arquitectura","Historial del fix de Chart negatives.","Casos RD$/US$, comas decimales, paréntesis y guiones pueden interpretarse mal.","","Parser tipado por locale con formatos explícitos y errores, sin heurísticas ambiguas.","Parser tipado por locale con formatos explícitos y errores, sin heurísticas ambiguas.","Por priorizar","Parcial"
"WSP-070","P0","Técnica / producto","Gráficos","Transversal","Un gráfico incorrecto puede pasar controles superficiales","El E2E verificaba existencia de serie y SVG, pero falló en negativos.","Registros, pruebas o arquitectura","Step 17.","Visualización válida estructuralmente pero falsa.","","Comparar dataset serializado con fuente y validar dominio/valores antes de renderizar.","Comparar dataset serializado con fuente y validar dominio/valores antes de renderizar.","Por priorizar","Resuelto"
"WSP-079","P0","Técnica / producto","Flow","Transversal","Flow fue excluido pero existe en navegación/modelo","Los registros indican FLOW EXCLUDED y store workflows existente.","Registros, pruebas o arquitectura","Estado de Phase 3C.","El usuario puede creer que automatiza cuando no existe ejecución completa.","","Ocultar o marcar 'En desarrollo'; ninguna acción decorativa.","Ocultar o marcar 'En desarrollo'; ninguna acción decorativa.","Por priorizar","Abierto"
"WSP-096","P0","Técnica / producto","Pruebas","Transversal","Suite estructural no debe ser puerta funcional","Muchas comprobaciones validan que una función, clase o estilo existe.","Registros, pruebas o arquitectura","Listado de workspace-test.","Falsa confianza de producto completo.","","Separar structure, unit, integration, E2E, visual, security y semantic output.","Separar structure, unit, integration, E2E, visual, security y semantic output.","Por priorizar","Abierto"
"WSP-097","P0","Técnica / producto","Pruebas","Transversal","Existe al menos un fallo estructural abierto","workspace-test reporta 155/156.","Registros, pruebas o arquitectura","Registro del ciclo.","No debe declararse verde.","","Corregir innerHTML o causa actual y exigir 100 %.","Corregir innerHTML o causa actual y exigir 100 %.","Por priorizar","Resuelto"
"WSP-098","P0","Técnica / producto","Pruebas","Transversal","La evidencia E2E disponible no está completamente verde","La última evidencia recuperada muestra 78/79 por negativos; registros anteriores 77/79.","Registros, pruebas o arquitectura","Toolisto - Desarrollo automatico.txt.","El flujo estrella no está certificado en la evidencia disponible.","","Reejecutar HEAD actual, guardar artefactos y obtener 79/79 sin relajar umbrales.","Reejecutar HEAD actual, guardar artefactos y obtener 79/79 sin relajar umbrales.","Por priorizar","Resuelto"
"WSP-111","P0","Técnica / producto","Producto","Transversal","Comparación con Canva/Notion/Excel puede ser engañosa","La visión busca esas referencias, pero Diseño, Query, Dashboards y Flow siguen parciales.","Registros, pruebas o arquitectura","Historial del proyecto.","Expectativas imposibles y pérdida de confianza.","","Posicionar Workspace como flujo documental local; estados Estable/Beta/Lab por módulo.","Posicionar Workspace como flujo documental local; estados Estable/Beta/Lab por módulo.","Por priorizar","Abierto"
"WSP-112","P0","Técnica / producto","Producto","Transversal","Módulos demo deben quedar fuera del flujo principal","Dashboards y Flow fueron marcados DEMO; Query limitado.","Registros, pruebas o arquitectura","Historial de implementación.","Botones decorativos contradicen principios.","","Ocultar o mover a Toolisto Lab con limitaciones visibles.","Ocultar o mover a Toolisto Lab con limitaciones visibles.","Por priorizar","Abierto"
"UXW-001","P0","Usuario nuevo","UX / Primera apertura","Primera apertura","No queda claro si primero debe crear un proyecto","La portada ofrece Capturar, Escribir y Ordenar, mientras la barra también muestra Nuevo Proyecto.","Captura visual 29/07","Captura visual 29/07","Puede intentar capturar antes de entender dónde se guardará el resultado.","","Permitir comenzar sin proyecto y crear uno automáticamente, o explicar en una línea qué ocurre.","Permitir comenzar sin proyecto y crear uno automáticamente, o explicar en una línea qué ocurre.","UX","Abierto"
"UXW-011","P0","Empleado administrativo","UX / Iniciar una tarea","Iniciar una tarea","Demasiadas decisiones antes del resultado","Proyecto, módulo, plantilla, captura, documento, tabla y diseño son conceptos distintos.","Recorrido E2E","Recorrido E2E","El usuario que solo quiere convertir una foto en informe se pierde.","","Un único botón “Traer archivo” y recomendación automática editable.","Un único botón “Traer archivo” y recomendación automática editable.","UX","Abierto"
"UXW-021","P0","Usuario de escaneo","UX / Captura","Captura","Una imagen limpia puede ser modificada sin necesidad","El pipeline aplicó perspectiva y remuestreo incluso con esquinas fallback.","Diagnóstico OCR","Diagnóstico OCR","Puede perder nitidez o alterar el archivo antes del OCR.","","Ruta identidad sin transformación cuando no se detecta documento real.","Ruta identidad sin transformación cuando no se detecta documento real.","UX","Abierto"
"UXW-022","P0","Usuario de escaneo","UX / OCR","OCR","Un resultado OCR puede parecer correcto sin serlo","La tabla de prueba aceptó celdas ausentes e inventadas.","E2E OCR","E2E OCR","El usuario confía en datos falsos.","","Estado borrador; revisión obligatoria de celdas de baja confianza.","Estado borrador; revisión obligatoria de celdas de baja confianza.","UX","Abierto"
"UXW-023","P0","Usuario de escaneo","UX / OCR","OCR","Los signos negativos son especialmente peligrosos","Un negativo se perdió antes de crear el gráfico.","E2E gráfico","E2E gráfico","Cambia completamente el significado financiero.","","Validación estricta de números, moneda, signos y totales.","Validación estricta de números, moneda, signos y totales.","UX","Abierto"
"UXW-031","P0","Usuario de documentos","UX / Edición","Edición","Riesgo de contenido pegado no seguro","Existe un fallo estructural relacionado con innerHTML.","Suite 155/156","Suite 155/156","Pegar desde Word, correo o web puede romper o comprometer el documento.","","Sanitización estricta y modelo de bloques.","Sanitización estricta y modelo de bloques.","UX","Abierto"
"UXW-039","P0","Analista de datos","UX / Importación","Importación","El parser numérico depende de heurísticas","Se corrigió -30 mediante reglas específicas.","Fix de negativos","Fix de negativos","Moneda, separadores y paréntesis pueden interpretarse mal.","","Locale explícito y vista de tipos antes de confirmar.","Locale explícito y vista de tipos antes de confirmar.","UX","Abierto"
"UXW-054","P0","Usuario móvil","UX / Navegación","Navegación","La barra superior no cabe correctamente","Nuevo Proyecto está recortado en una captura de escritorio relativamente estrecha.","Captura visual","Captura visual","En móvil habrá más pérdida o menús ocultos.","","Bottom navigation y menú de overflow.","Bottom navigation y menú de overflow.","UX","Abierto"
"UXW-061","P0","Usuario con discapacidad","UX / Operación visual","Operación visual","Scanner, gráficos y Diseño requieren alternativas","Las pruebas son principalmente estructurales.","Phase 11","Phase 11","No puede completar el flujo solo con teclado o lector.","","Controles numéricos, lista de objetos y descripción textual.","Controles numéricos, lista de objetos y descripción textual.","UX","Abierto"
"UXW-067","P0","Usuario con documentos sensibles","UX / Privacidad","Privacidad","La promesa local no tiene prueba negativa visible","No se intercepta red en las pruebas recuperadas.","Suites disponibles","tests/workspace/phase6-network-negative-test.mjs","No puede verificar que su documento no salió.","","Indicador de red y test que bloquee payloads.","Indicador de red y test que bloquee payloads.","UX","Resuelto"
"WDX-001","P0","Usuario de negocio","Integridad y confianza","OCR → tabla → gráfico","La app necesita una barrera de calidad entre artefactos","El flujo estrella crea objetos derivados aunque la fuente contenga incertidumbre.","E2E + análisis de producto","phase3c Star Flow","Un error se propaga y adquiere apariencia profesional.","Relaciones registran linaje, pero no estado de aprobación.","Cada artefacto debe tener estado draft/reviewed/verified y dependencias inválidas.","Un gráfico/PDF no puede marcarse final si una celda fuente está low-confidence.","0","Resuelto"
"WDX-002","P0","Auditor / calidad","Trazabilidad","Resultado","No existe firma de evidencia del proyecto exportado","El bundle contiene objetos y ejecuciones, pero no un manifiesto con hashes.","E2E","export .toolisto","No se puede demostrar que el informe corresponde a las fuentes revisadas.","Formato de exportación sin manifest verificable.","Manifest con schema, hashes por asset/objeto y cadena de derivación.","Alterar un byte invalida la verificación y el usuario recibe diagnóstico.","0","Resuelto"
"WDX-003","P0","Usuario con datos sensibles","Borrado","Eliminar proyecto","El borrado debe demostrar ausencia en los ocho stores","La persistencia usa múltiples stores relacionados.","Arquitectura","IndexedDB v3","Datos pueden quedar huérfanos después de borrar.","Cascada manual sin auditor final.","Transacción de borrado + garbage collector por referencia/hash.","Prueba crea proyecto completo, borra y encuentra cero IDs/blobs relacionados.","0","Resuelto"
"WDX-004","P0","Usuario de escaneo","OCR numérico","Revisión","Levenshtein no puede ser métrica principal para datos de negocio","Una inserción en -30 mantiene una tasa alta aunque cambia el valor.","Registro confirmado","AUTONOMOUS-STATUS / E2E","La métrica aprueba un resultado materialmente falso.","Optimización de caracteres globales.","Métricas exactas por token numérico, fecha, moneda, signo, celda y total.","Todo número crítico coincide exactamente; si no, requiere revisión humana.","0","Parcial"
"WDX-005","P0","Usuario de escaneo","OCR de tablas","Conversión","La prueba de 60 % permite valores inventados","El flujo aceptó celdas ausentes y adicionales.","E2E confirmado","phase3c Star Flow","Datos falsos entran a cálculos.","Umbral global permisivo.","Matching de celdas, precisión/recall y exactitud numérica estricta.","Cero valores inventados en fixture limpio; baja confianza bloquea exportación.","0","Resuelto"
"WDX-006","P0","Usuario general","Persistencia","Actualización","No hay contrato de migración desde versiones antiguas","La DB está en v3 sin corpus v1/v2.","Arquitectura","core/db.js / logs","Una actualización puede dejar proyectos inaccesibles.","onupgradeneeded sin release fixtures certificados.","Export preventivo, migración transaccional y rollback.","Abrir snapshots v1/v2/v3 conserva conteos, relaciones y blobs.","0","Resuelto"
"WDX-007","P0","Usuario general","Importación","Abrir proyecto","La importación debe hacerse en staging","El caso feliz remapea IDs, pero no demuestra atomicidad.","E2E + riesgo","importProject","Un bundle corrupto deja medio proyecto.","Escrituras progresivas.","Validar/descomprimir/normalizar en memoria o DB temporal y hacer commit único.","Fallo en cualquier objeto deja la DB idéntica al estado previo.","0","Resuelto"
"WDX-008","P0","Usuario con discapacidad","Accesibilidad funcional","Flujo estrella","La accesibilidad estructural no prueba scanner, grid, chart y Diseño","Las suites comprueban presencia de roles/estilos.","Pruebas estructurales","phase11/workspace-test","No puede completar el producto principal con lector o teclado.","Aserciones de código en lugar de recorridos.","E2E de teclado + axe + pruebas manuales NVDA/TalkBack.","El flujo estrella completo se ejecuta sin mouse y produce resultado equivalente.","0","Abierto"
"WDX-009","P0","Usuario móvil","Experiencia móvil","Flujo estrella","Captura real y botón Atrás no están cubiertos","Los fixtures usan PNG y capturas responsive.","Evidencia limitada","screenshots/E2E","La función principal puede fallar en el dispositivo objetivo.","Emulación visual sin hardware/navigation real.","Matriz Android/iOS con cámara, permisos, orientación, background y back.","Vídeos y logs de dos dispositivos físicos o granja de dispositivos.","1","Abierto"
"WDX-010","P0","Usuario con privacidad","Red y almacenamiento","Toda la sesión","La promesa local requiere prueba negativa continua","No hay evidencia de intercepción de todos los canales de red.","Prueba ausente","tests/workspace/phase6-network-negative-test.mjs","Una dependencia puede enviar contenido sin detectarse.","Privacidad como documentación.","Bloqueo/test de fetch, XHR, beacon, WebSocket, forms y URLs externas.","El fixture contiene marcador secreto que nunca aparece en requests/logs.","0","Resuelto"
