toolId,enabled,indexable,slug,matrizEstado,matrizPublicar,matrizResolucion,conHarnessE2E,detalle,estadoReal
signPdf,signPdf,si,si,firmar-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
docPhoto,docPhoto,si,si,foto-para-documentos,rebuild,No,disabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
censor,censor,si,si,censurar-imagen,rebuild,No,disabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
fixFormat,fixFormat,si,si,reparar-formato-de-imagen,rebuild,No,disabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
rescueDoc,rescueDoc,si,si,mejorar-documento-fotografiado,rebuild,No,disabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
fileCompliance,fileCompliance,si,si,cumplir-requisitos-de-archivo,certified,Sí,enabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
workflow,workflow,si,si,flujo-de-imagenes,certified,Sí,enabled,si,TLT-certify-image-interactive-evidence.json,CERTIFICADA (harness funcional real)
advancedConvert,advancedConvert,si,si,conversor-avanzado-de-imagenes,rebuild,No,disabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
jpg-to-png,convert,si,si,jpg-a-png,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
png-to-jpg,convert,si,si,png-a-jpg,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
jpg-to-webp,convert,si,si,jpg-a-webp,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
webp-to-jpg,convert,si,si,webp-a-jpg,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
png-to-webp,convert,si,si,png-a-webp,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
webp-to-png,convert,si,si,webp-a-png,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
jpg-to-pdf,imagesPdf,si,si,jpg-a-pdf,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
png-to-pdf,imagesPdf,si,si,png-a-pdf,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
pdf-to-jpg,pdfToImages,si,si,pdf-a-jpg,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
pdf-to-png,pdfToImages,si,si,pdf-a-png,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
wordToPdf,wordToPdf,si,si,word-a-pdf,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
wordToJpg,wordToJpg,si,si,word-a-jpg,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
wordToPng,wordToPng,si,si,word-a-png,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
wordToTxt,wordToTxt,si,si,word-a-txt,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
wordToHtml,wordToHtml,si,si,word-a-html,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
wordToMarkdown,wordToMarkdown,si,si,word-a-markdown,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
wordToEpub,wordToEpub,si,si,word-a-epub,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
wordToOdt,wordToOdt,si,si,word-a-odt,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
odtToWord,odtToWord,si,si,odt-a-word,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
rtfToWord,rtfToWord,si,si,rtf-a-word,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
mergeWord,mergeWord,si,si,unir-documentos-word,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
splitWord,splitWord,si,si,dividir-documento-word,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
repairWord,repairWord,si,si,reparar-word,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
compressWord,compressWord,si,si,comprimir-word,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
stripMetadataWord,stripMetadataWord,si,si,eliminar-metadatos-word,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
formatDocument,formatDocument,si,si,uniformar-formato-documento,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
tocWord,tocWord,si,si,crear-tabla-de-contenido,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
extractWord,extractWord,si,si,extraer-contenido-word,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
findReplaceWord,findReplaceWord,si,si,buscar-reemplazar-documentos,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
tablesWordToExcel,tablesWordToExcel,si,si,tablas-word-a-excel,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
removeBlankPagesWord,removeBlankPagesWord,si,si,eliminar-paginas-en-blanco-word,certified,Sí,enabled,si,TLT-certify-word-family-evidence.json,CERTIFICADA (harness funcional real)
txtToPdf,txtToPdf,si,si,txt-a-pdf,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
txtToEpub,txtToEpub,si,si,txt-a-epub,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
mergeTxt,mergeTxt,si,si,unir-archivos-txt,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
splitTxt,splitTxt,si,si,dividir-archivo-txt,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
sortLines,sortLines,si,si,ordenar-lineas-texto,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
removeDuplicates,removeDuplicates,si,si,eliminar-filas-duplicadas,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
listToTable,listToTable,si,si,convertir-listas-en-tablas,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
epubToTxt,epubToTxt,si,si,epub-a-txt,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
epubToHtml,epubToHtml,si,si,epub-a-html,certified,Sí,enabled,si,TLT-certify-epub-family-evidence.json,CERTIFICADA (harness funcional real)
epubToMarkdown,epubToMarkdown,si,si,epub-a-markdown,certified,Sí,enabled,si,TLT-certify-epub-family-evidence.json,CERTIFICADA (harness funcional real)
mergeEpub,mergeEpub,si,si,unir-epub,certified,Sí,enabled,si,TLT-certify-epub-family-evidence.json,CERTIFICADA (harness funcional real)
splitEpub,splitEpub,si,si,dividir-epub-por-capitulos,certified,Sí,enabled,si,TLT-certify-epub-family-evidence.json,CERTIFICADA (harness funcional real)
editMetadataEpub,editMetadataEpub,si,si,editar-metadatos-epub,certified,Sí,enabled,si,TLT-certify-epub-family-evidence.json,CERTIFICADA (harness funcional real)
coverEpub,coverEpub,si,si,extraer-portada-epub,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
imagesEpub,imagesEpub,si,si,extraer-imagenes-epub,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
validateEpub,validateEpub,si,si,validar-epub,certified,Sí,enabled,si,TLT-certify-epub-family-evidence.json,CERTIFICADA (harness funcional real)
repairEpub,repairEpub,si,si,reparar-epub,certified,Sí,enabled,si,TLT-certify-epub-family-evidence.json,CERTIFICADA (harness funcional real)
csvToExcel,csvToExcel,si,si,csv-a-excel,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
excelToCsv,excelToCsv,si,si,excel-a-csv,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
excelToJson,excelToJson,si,si,excel-a-json,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
jsonToExcel,jsonToExcel,si,si,json-a-excel,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
csvToJson,csvToJson,si,si,csv-a-json,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
jsonToCsv,jsonToCsv,si,si,json-a-csv,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
xmlToJson,xmlToJson,si,si,xml-a-json,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
jsonToXml,jsonToXml,si,si,json-a-xml,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
mergeExcel,mergeExcel,si,si,unir-excel,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
splitExcel,splitExcel,si,si,dividir-excel,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
compareExcel,compareExcel,si,si,comparar-excel,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
xlsToXlsx,xlsToXlsx,si,si,xls-a-xlsx,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
xlsxToOds,xlsxToOds,si,si,xlsx-a-ods,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
odsToXlsx,odsToXlsx,si,si,ods-a-xlsx,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
rotatePdf,rotatePdf,si,si,girar-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
deletePagesPdf,deletePagesPdf,si,si,eliminar-paginas-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
reversePagesPdf,reversePagesPdf,si,si,invertir-orden-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
duplicatePagesPdf,duplicatePagesPdf,si,si,duplicar-paginas-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
insertBlankPagesPdf,insertBlankPagesPdf,si,si,insertar-paginas-en-blanco-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
editMetadataPdf,editMetadataPdf,si,si,editar-metadatos-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
compressPdf,compressPdf,si,si,comprimir-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
interleavePdf,interleavePdf,si,si,intercalar-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
cropPdf,cropPdf,si,si,recortar-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
resizePdfPages,resizePdfPages,si,si,cambiar-tamano-paginas-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
nUpPdf,nUpPdf,si,si,varias-paginas-por-hoja-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
splitDoublePdf,splitDoublePdf,si,si,dividir-paginas-dobles-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
bookletPdf,bookletPdf,si,si,crear-cuadernillo-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
watermarkPdf,watermarkPdf,si,si,agregar-marca-de-agua-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
addPageNumbersPdf,addPageNumbersPdf,si,si,numerar-paginas-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
addHeaderFooterPdf,addHeaderFooterPdf,si,si,encabezado-pie-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
unzipFile,unzipFile,si,si,extraer-zip,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
createZipAdvanced,createZipAdvanced,si,si,crear-zip-avanzado,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
zipRepair,zipRepair,si,si,reparar-zip,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
fileSplit,fileSplit,si,si,dividir-archivo,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
fileJoin,fileJoin,si,si,unir-archivos-divididos,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
checksumFile,checksumFile,si,si,calcular-hash,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
fileInspector,fileInspector,si,si,inspeccionar-archivo,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
pdfEncryptAdvanced,pdfEncryptAdvanced,no,si,encriptar-pdf-avanzado,rebuild,No,disabled,no,enabled=false (pdfEncryptAdvanced, única no habilitada),BLOQUEADA
qrGenerate,qrGenerate,si,si,generar-qr,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
qrWifi,qrWifi,si,si,generar-qr-wifi,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
qrVcard,qrVcard,si,si,generar-qr-contacto,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
barcodeGenerate,barcodeGenerate,si,si,generar-codigo-barras,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
qrReadFromImage,qrReadFromImage,si,si,leer-qr-imagen,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
barcodeReadFromImage,barcodeReadFromImage,si,si,leer-codigo-barras-imagen,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
qrBatchFromCsv,qrBatchFromCsv,si,si,generar-qr-por-lote,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
colorPicker,colorPicker,si,si,selector-color,certified,Sí,enabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
imageCompare,imageCompare,si,si,comparar-imagenes,certified,Sí,enabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
pdfPageCounter,pdfPageCounter,si,si,contar-paginas-pdf,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
enhanceScannedDocument,enhanceScannedDocument,si,si,mejorar-documento-escaneado,rebuild,No,disabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
cameraDocumentScanner,cameraDocumentScanner,si,si,escanear-documento-camara,certified,Sí,enabled,si,TLT-certify-pdf-misc-evidence.json,CERTIFICADA (harness funcional real)
pdfTablesToExcel,pdfTablesToExcel,si,si,extraer-tablas-pdf-excel,certified,Sí,enabled,si,TLT-certify-pdf-misc-evidence.json,CERTIFICADA (harness funcional real)
imageTableToExcel,imageTableToExcel,si,si,extraer-tabla-imagen-excel,certified,Sí,enabled,si,TLT-certify-pdf-misc-evidence.json,CERTIFICADA (harness funcional real)
convertAudio,convertAudio,si,si,convertir-audio,certified,Sí,enabled,si,TLT-certify-av-evidence.json,CERTIFICADA (harness funcional real)
trimAudio,trimAudio,si,si,recortar-audio,certified,Sí,enabled,si,TLT-certify-av-evidence.json,CERTIFICADA (harness funcional real)
mergeAudio,mergeAudio,si,si,unir-audios,certified,Sí,enabled,si,TLT-certify-av-evidence.json,CERTIFICADA (harness funcional real)
compressVideo,compressVideo,si,si,comprimir-video,certified,Sí,enabled,si,TLT-certify-av-evidence.json,CERTIFICADA (harness funcional real)
trimVideo,trimVideo,si,si,recortar-video,certified,Sí,enabled,si,TLT-certify-av-evidence.json,CERTIFICADA (harness funcional real)
mergeVideos,mergeVideos,si,si,unir-videos,certified,Sí,enabled,si,TLT-certify-av-evidence.json,CERTIFICADA (harness funcional real)
videoToGif,videoToGif,si,si,video-a-gif,certified,Sí,enabled,si,TLT-certify-av-evidence.json,CERTIFICADA (harness funcional real)
extractAudioFromVideo,extractAudioFromVideo,si,si,extraer-audio-video,certified,Sí,enabled,si,TLT-certify-av-evidence.json,CERTIFICADA (harness funcional real)
removeAudioFromVideo,removeAudioFromVideo,si,si,quitar-audio-video,certified,Sí,enabled,si,TLT-certify-av-evidence.json,CERTIFICADA (harness funcional real)
inspectFileMetadata,inspectFileMetadata,si,si,inspeccionar-metadatos-archivo,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
encryptDecryptFile,encryptDecryptFile,si,si,cifrar-descifrar-archivo,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
photoLocationExtractor,photoLocationExtractor,si,si,extraer-ubicacion-foto,certified,Sí,enabled,si,TLT-certify-pdf-misc-evidence.json,CERTIFICADA (harness funcional real)
simpleCalculator,simpleCalculator,si,si,calculadora-simple,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
scientificCalculator,scientificCalculator,si,si,calculadora-cientifica,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
textToUnicodeBraille,textToUnicodeBraille,si,si,texto-a-braille-unicode,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
formatDocumentApa7,formatDocumentApa7,si,si,formato-apa-7,certified,Sí,enabled,si,TLT-certify-pdf-misc-evidence.json,CERTIFICADA (harness funcional real)
scannedPdfToSearchablePdf,scannedPdfToSearchablePdf,si,si,pdf-escaneado-a-pdf-buscable,certified,Sí,enabled,si,TLT-certify-ocr-pdf-evidence.json,CERTIFICADA (harness funcional real)
imageToSearchablePdf,imageToSearchablePdf,si,si,imagen-a-pdf-buscable,certified,Sí,enabled,si,TLT-certify-ocr-pdf-evidence.json,CERTIFICADA (harness funcional real)
extractTextFromScannedPdf,extractTextFromScannedPdf,si,si,extraer-texto-pdf-escaneado,certified,Sí,enabled,si,TLT-certify-ocr-pdf-evidence.json,CERTIFICADA (harness funcional real)
detectOcrNeeded,detectOcrNeeded,si,si,detectar-ocr-pdf,certified,Sí,enabled,si,TLT-certify-ocr-pdf-evidence.json,CERTIFICADA (harness funcional real)
censorPdf,censorPdf,si,si,censurar-pdf-permanente,certified,Sí,enabled,si,TLT-certify-pdf-misc-evidence.json,CERTIFICADA (harness funcional real)
verifyPdfCensor,verifyPdfCensor,si,si,verificar-censura-pdf,certified,Sí,enabled,si,TLT-certify-pdf-misc-evidence.json,CERTIFICADA (harness funcional real)
comparePdfs,comparePdfs,si,si,comparar-dos-pdf,certified,Sí,enabled,si,TLT-certify-pdf-misc-evidence.json,CERTIFICADA (harness funcional real)
textStatistics,textStatistics,si,si,estadisticas-texto,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
wordCount,wordCount,si,si,contar-palabras,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
textDiff,textDiff,si,si,comparar-textos,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
htmlToMarkdown,htmlToMarkdown,si,si,html-a-markdown,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
htmlToText,htmlToText,si,si,html-a-texto,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
cssMinifier,cssMinifier,si,si,minificar-css,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
base64Encode,base64Encode,si,si,codificar-base64,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
base64Decode,base64Decode,si,si,decodificar-base64,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
urlEncode,urlEncode,si,si,codificar-url,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
urlDecode,urlDecode,si,si,decodificar-url,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
csvToMarkdown,csvToMarkdown,si,si,csv-a-markdown,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
csvToHtml,csvToHtml,si,si,csv-a-html,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
csvToYaml,csvToYaml,si,si,csv-a-yaml,publish,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
