Suite,Comando,QuePruebaRealmente,Navegador,FixtureReal,Descarga,Reabre,ValidaSemantica,Clasificacion,ResultadoEnHEAD
phase4-integrity,node tests/workspace/phase4-integrity-test.mjs,Integridad referencial y cascada en IndexedDB real,No,Si,No,No,Si,INTEGRACION,43/43
phase5-bundle-trust,node tests/workspace/phase5-bundle-trust-test.mjs,Manifiesto/checksums/import atomico sobre IndexedDB real,No,Si,No,No,Si,INTEGRACION,49/49
phase6-network-negative,node tests/workspace/phase6-network-negative-test.mjs,Prueba negativa de red: marcador secreto nunca sale (intercepta fetch/XHR/beacon/WS),Si,Si,No,No,Si,SEGURIDAD E2E,51/51
history-manager,node tests/workspace/history-manager-test.mjs,Undo/redo por snapshots,No,No,No,No,Si,UNIT,28/28
workspace-storage,node tests/workspace/workspace-storage-test.mjs,Almacenamiento IndexedDB/localStorage,No,No,No,No,Parcial,UNIT,17/17
error-manager,node tests/workspace/error-manager-test.mjs,Gestor de errores,No,No,No,No,Parcial,UNIT,13/13
session-recovery,node tests/workspace/session-recovery-test.mjs,Recuperacion de sesion y UI,No,No,No,No,Parcial,INTEGRACION,24/24
deep-regression,node tests/workspace/deep-regression-test.mjs,Regresion profunda del workspace,No,Parcial,No,No,Parcial,INTEGRACION,24/24
tabular,node tests/workspace/tabular-detection-test.mjs,Deteccion tabular,No,No,No,No,Parcial,UNIT,21/21
workflow-*,tests/workspace/workflow-*.mjs,Modelo/UI/engine/validator/e2e de workflows,No,No,No,No,Parcial,UNIT/INTEGRACION,15/15 y mas segun roadmap
run-all,node tests/run-all.mjs,Aggregador de 18 suites (incluye gate harnesses),Si,Parcial,Parcial,Parcial,Parcial,AGREGADOR,15/18 en 2026-08-06 (3 flakes Word/EPUB/PDF-Misc que pasan standalone 67/70/62)
release-gate,node scripts/test-workspace-release.mjs,Build limpio + sync + workspace-test + P3A + P3B + P11 + OCR source + Star-Flow E2E,Si,Si,Si,Si,Si,FUNCIONAL E2E,RELEASE GATE OK (2026-08-06, manifest 5837d39c)
